Escola;Alunos em que foram implantados;Alunos que responderam exercício;Engajamento;Vídeos assistidos;Questões respondidas;Questões corretas (Português - %);Questões corretas (Matemática - %);Distrito
E.M. ALMERON CAMINHA MONTEIRO;101;98;97,03%;2263;28854;58,58%;51,86%;DDZ CENTRO-SUL
E.M. AMINE DAOU LINDOSO;133;72;54,14%;524;4590;73,78%;66,17%;DDZ SUL
E.M. ANA MARIA DE SOUZA BARROS;210;1;0,48%;0;15;40,0%;0%;DDZ LESTE I
E.M. ANA MOTA BRAGA;104;60;57,69%;319;2044;69,67%;60,19%;DDZ SUL
E.M. ANA SENA RODRIGUES;134;38;28,36%;167;2584;67,08%;62,1%;DDZ NORTE
E.M. ANTISTHENES DE OLIVEIRA PINTO;195;28;14,36%;88;430;84,08%;58,08%;DDZ CENTRO-SUL
E.M. ANTONINA BORGES DE SA;283;88;31,1%;365;2222;76,66%;63,3%;DDZ LESTE I
E.M. ARISTOTELES COMTE DE ALENCAR;156;12;7,69%;52;210;71,64%;53,85%;DDZ LESTE I
E.M. CARMEM GUIMARAES HAGGE;81;35;43,21%;200;1916;77,6%;69,27%;DDZ NORTE
E.M. DEPUTADO ULISSES GUIMARAES;149;48;32,21%;365;2455;66,19%;62,26%;DDZ CENTRO-SUL
E.M. DOM MILTON CORREA PEREIRA;160;104;65,0%;658;7125;64,05%;57,74%;DDZ NORTE
E.M. DOUTOR RAIMUNDO NONATO MAGALHAES CORDEIRO;274;46;16,79%;251;1419;66,36%;57,4%;DDZ CENTRO-SUL
E.M. DR. SERGIO ALFREDO PESSOA FIGUEIREDO;31;29;93,55%;602;5139;58,56%;67,0%;DDZ SUL
E.M.E.B. PROFª. MARIA APARECIDA DOS SANTOS FRANCO;120;107;89,17%;3422;26136;74,6%;74,26%;Riolândia
E.M. ENGENHEIRO JOAO ALBERTO MENEZES BRAGA;295;172;58,31%;1102;6357;64,43%;58,17%;DDZ NORTE
E.M. ETELVINA PEREIRA BRAGA;95;19;20,0%;79;366;76,03%;58,64%;DDZ LESTE I
E.M. FRANCISCO GUEDES DE QUEIROZ;149;20;13,42%;93;599;77,63%;65,58%;DDZ LESTE I
E.M. GOVERNADOR DANILO DE MATOS AREOSA;172;53;30,81%;375;1658;60,74%;57,25%;DDZ LESTE II
E.M. GOVERNADOR PLINIO RAMOS COELHO;116;26;22,41%;89;908;63,19%;54,86%;DDZ LESTE II
E.M. GRAZIELA RIBEIRO;74;34;45,95%;420;3325;62,53%;58,68%;DDZ SUL
E.M. HAHNEMANN BACELAR;117;115;98,29%;622;6650;70,39%;71,25%;DDZ SUL
E.M. HEMETERIO CABRINHA;56;39;69,64%;471;2179;76,46%;69,54%;DDZ LESTE I
E.M. HONORINA DE AZEVEDO VASCONCELOS;116;54;46,55%;328;2848;69,79%;60,09%;DDZ LESTE I
E.M. JOAQUIM DA SILVA PINTO;98;86;87,76%;265;8494;62,35%;62,76%;DDZ SUL
E.M. LUCILA FREITAS;128;28;21,88%;177;1052;73,39%;67,79%;DDZ NORTE
E.M. MADRE TEREZA DE CALCUTA;194;33;17,01%;251;1195;75,6%;65,4%;DDZ LESTE II
E.M. MARECHAL CANDIDO RONDON;72;31;43,06%;221;1259;76,15%;53,88%;DDZ OESTE
E.M. MARIA DO CARMO REBELLO DE SOUZA;95;69;72,63%;321;3628;63,41%;69,14%;DDZ LESTE I
E.M. NAZIRA CHAMMA DAOU;96;23;23,96%;405;1692;76,18%;68,43%;DDZ SUL
E.M. NINA DE ARAUJO COSTA LINS;255;134;52,55%;1070;19719;79,93%;66,98%;DDZ NORTE
E.M. OLGA FIGUEIREDO;191;26;13,61%;151;707;57,06%;53,26%;DDZ CENTRO-SUL
E.M. OLGA GUTMANN BENARIO;112;62;55,36%;873;3592;65,6%;64,41%;DDZ NORTE
E.M. PRESIDENTE JOAO GOULART;155;132;85,16%;636;15217;69,23%;68,97%;DDZ NORTE
E.M. PROF.ª FRANCISCA CAMPOS CORREA;85;13;15,29%;74;251;65,0%;65,56%;DDZ RURAL
E.M. PROF.ª FRANCISCA PEREIRA DE ARAUJO;123;114;92,68%;847;9598;72,14%;68,79%;DDZ SUL
E.M. PROF. ALVARO VALLE;123;69;56,1%;741;4014;66,49%;62,42%;DDZ LESTE II
E.M. PROF.ª MARIA AUXILIADORA S. AZEVEDO;195;67;34,36%;397;2891;64,25%;59,72%;DDZ LESTE II
E.M. PROF.ª SULAMITA PEREIRA GONCALVES;81;36;44,44%;199;1001;80,21%;69,45%;DDZ CENTRO-SUL
E.M. PROF. CARLOS FARIAS OURO DE CARVALHO;132;45;34,09%;359;1267;50,0%;50,19%;DDZ NORTE
E.M. PROF. JOAQUIM GONZAGA PINHEIRO;126;21;16,67%;111;541;67,21%;55,85%;DDZ OESTE
